模型,模型版本,维度,变量,字段名,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
铜价模型,产业链核心,期货情绪,CFTC铜持仓量月环比,cftc_copper_open_interest_contracts_mom_pct,0.08870715649182763,0.08870715649182763,0.08728897451812258,*,正向,5
铜价模型,产业链+金融控制,成本,Brent原油月环比,brent_usd_per_barrel_month_avg_mom_pct,-0.009523370299415065,0.009523370299415065,0.8443064881097962,不显著,负向,15
铜价模型,产业链+金融控制,成本,澳洲动力煤月环比,coal_australia_usd_per_mt_mom_pct,0.038073498638812965,0.038073498638812965,0.5292792177559016,不显著,正向,9
铜价模型,产业链+金融控制,成本,欧洲天然气月环比,natural_gas_europe_usd_per_mmbtu_mom_pct,-0.06809907855461243,0.06809907855461243,0.38538880858442837,不显著,负向,7
铜价模型,产业链+金融控制,成本/贸易,货运成本指数月环比,freight_expenditures_index_mom_pct,0.029986948378552314,0.029986948378552314,0.5891782020778453,不显著,正向,11
铜价模型,产业链+金融控制,成本,中国PPI同比变化,china_ppi_yoy_pct_mom_diff,0.13929628372089856,0.13929628372089856,0.0791285718051005,*,正向,4
铜价模型,产业链+金融控制,需求,中国制造业PMI变化,china_manufacturing_pmi_mom_diff,0.20309289105577266,0.20309289105577266,0.06426997442248229,*,正向,3
铜价模型,产业链+金融控制,需求,中国工业增加值同比变化,china_industrial_value_added_yoy_pct_mom_diff,-0.13498663764515875,0.13498663764515875,0.014833348792450383,**,负向,5
铜价模型,产业链+金融控制,需求,房地产景气指数变化,china_real_estate_climate_index_mom_diff,0.008227538391719694,0.008227538391719694,0.8781841681660661,不显著,正向,16
铜价模型,产业链+金融控制,贸易,中国出口总额月环比,china_total_exports_current_usd_mom_pct,0.023833150110930075,0.023833150110930075,0.6996153025855962,不显著,正向,13
铜价模型,产业链+金融控制,贸易,中国进口总额月环比,china_total_imports_current_usd_mom_pct,-0.01509749691256524,0.01509749691256524,0.8499722923089309,不显著,负向,14
铜价模型,产业链+金融控制,期货情绪,CFTC铜非商业净多头变化,cftc_copper_noncommercial_net_long_contracts_mom_diff,0.6338161531721322,0.6338161531721322,5.548054577143219e-25,***,正向,1
铜价模型,产业链+金融控制,期货情绪,CFTC铜持仓量月环比,cftc_copper_open_interest_contracts_mom_pct,0.1170362869493955,0.1170362869493955,0.0941997616466858,*,正向,6
铜价模型,产业链+金融控制,金融控制,美元指数月环比,us_dollar_broad_index_month_avg_mom_pct,-0.26890272454056513,0.26890272454056513,0.006983051989341436,***,负向,2
铜价模型,产业链+金融控制,金融控制,联邦基金利率变化,fed_funds_rate_pct_mom_diff,-0.031958140146175935,0.031958140146175935,0.5322864457958902,不显著,负向,10
铜价模型,产业链+金融控制,金融控制,10年期美债收益率变化,us_10y_treasury_yield_pct_month_avg_mom_diff,0.02691000523833109,0.02691000523833109,0.6634981170666168,不显著,正向,12
铜价模型,产业链+金融控制,金融控制,VIX变化,vix_month_avg_mom_diff,-0.06266212654785262,0.06266212654785262,0.42160819453470755,不显著,负向,8
铝价模型,产业链核心,供应,全球原铝产量月环比,iai_primary_aluminium_world_kt_mom_pct,0.24103874732294417,0.24103874732294417,0.5123120565518154,不显著,正向,5
铝价模型,产业链核心,供应,中国原铝产量月环比,iai_primary_aluminium_china_estimated_kt_mom_pct,-0.26676161794684083,0.26676161794684083,0.3545300490471812,不显著,负向,3
铝价模型,产业链核心,供应,全球氧化铝产量月环比,iai_alumina_total_world_kt_mom_pct,-0.22010775701849183,0.22010775701849183,0.4745160940929285,不显著,负向,6
铝价模型,产业链核心,供应,中国氧化铝产量月环比,iai_alumina_total_china_estimated_kt_mom_pct,0.2555998129944884,0.2555998129944884,0.3136697342161153,不显著,正向,4
铝价模型,产业链核心,成本,Brent原油月环比,brent_usd_per_barrel_month_avg_mom_pct,0.19656691945011884,0.19656691945011884,0.014212526375047396,**,正向,8
铝价模型,产业链核心,成本,澳洲动力煤月环比,coal_australia_usd_per_mt_mom_pct,0.01909857688001884,0.01909857688001884,0.8390168495282356,不显著,正向,12
铝价模型,产业链核心,成本,欧洲天然气月环比,natural_gas_europe_usd_per_mmbtu_mom_pct,0.2702050671409997,0.2702050671409997,0.004962853205519,***,正向,2
铝价模型,产业链核心,成本/贸易,货运成本指数月环比,freight_expenditures_index_mom_pct,-0.004210137253410046,0.004210137253410046,0.9567653268499241,不显著,负向,14
铝价模型,产业链核心,成本,中国PPI同比变化,china_ppi_yoy_pct_mom_diff,0.29768084783743576,0.29768084783743576,0.009537934588047779,***,正向,1
铝价模型,产业链核心,需求,中国制造业PMI变化,china_manufacturing_pmi_mom_diff,0.06282478071950715,0.06282478071950715,0.6529023056876414,不显著,正向,11
铝价模型,产业链核心,需求,中国工业增加值同比变化,china_industrial_value_added_yoy_pct_mom_diff,-0.1357321819145999,0.1357321819145999,0.3004383716348983,不显著,负向,9
铝价模型,产业链核心,需求,房地产景气指数变化,china_real_estate_climate_index_mom_diff,0.07709527990641324,0.07709527990641324,0.6173624098137025,不显著,正向,10
铝价模型,产业链核心,贸易,中国出口总额月环比,china_total_exports_current_usd_mom_pct,0.0119625548740337,0.0119625548740337,0.9268365447857779,不显著,正向,13
铝价模型,产业链核心,贸易,中国进口总额月环比,china_total_imports_current_usd_mom_pct,-0.2068532761267204,0.2068532761267204,0.05171732027115737,*,负向,7
铝价模型,产业链+金融控制,供应,全球原铝产量月环比,iai_primary_aluminium_world_kt_mom_pct,0.2582918069311966,0.2582918069311966,0.4139280388941866,不显著,正向,3
铝价模型,产业链+金融控制,供应,中国原铝产量月环比,iai_primary_aluminium_china_estimated_kt_mom_pct,-0.23607987351946655,0.23607987351946655,0.3664361726332911,不显著,负向,6
铝价模型,产业链+金融控制,供应,全球氧化铝产量月环比,iai_alumina_total_world_kt_mom_pct,-0.24351802395862077,0.24351802395862077,0.3847550057428083,不显著,负向,5
铝价模型,产业链+金融控制,供应,中国氧化铝产量月环比,iai_alumina_total_china_estimated_kt_mom_pct,0.2445244898493711,0.2445244898493711,0.3187809267925884,不显著,正向,4
铝价模型,产业链+金融控制,成本,Brent原油月环比,brent_usd_per_barrel_month_avg_mom_pct,0.18182877294946842,0.18182877294946842,0.003145766760640793,***,正向,9
铝价模型,产业链+金融控制,成本,澳洲动力煤月环比,coal_australia_usd_per_mt_mom_pct,0.05990716306876283,0.05990716306876283,0.44055500157927185,不显著,正向,14
铝价模型,产业链+金融控制,成本,欧洲天然气月环比,natural_gas_europe_usd_per_mmbtu_mom_pct,0.2619772878595954,0.2619772878595954,0.00938330747656312,***,正向,1
铝价模型,产业链+金融控制,成本/贸易,货运成本指数月环比,freight_expenditures_index_mom_pct,-0.019239084733643448,0.019239084733643448,0.8088644125845172,不显著,负向,17
铝价模型,产业链+金融控制,成本,中国PPI同比变化,china_ppi_yoy_pct_mom_diff,0.22344774950604068,0.22344774950604068,0.009069019714574198,***,正向,7
铝价模型,产业链+金融控制,需求,中国制造业PMI变化,china_manufacturing_pmi_mom_diff,0.07268763417752043,0.07268763417752043,0.5911644129425682,不显著,正向,12
铝价模型,产业链+金融控制,需求,中国工业增加值同比变化,china_industrial_value_added_yoy_pct_mom_diff,-0.12776652917569054,0.12776652917569054,0.29917817402108315,不显著,负向,11
铝价模型,产业链+金融控制,需求,房地产景气指数变化,china_real_estate_climate_index_mom_diff,0.020226459068023624,0.020226459068023624,0.8569416824268233,不显著,正向,16
铝价模型,产业链+金融控制,贸易,中国出口总额月环比,china_total_exports_current_usd_mom_pct,-0.0036468898923432795,0.0036468898923432795,0.9790331556656591,不显著,负向,18
铝价模型,产业链+金融控制,贸易,中国进口总额月环比,china_total_imports_current_usd_mom_pct,-0.20904844162681688,0.20904844162681688,0.04875183031739602,**,负向,8
铝价模型,产业链+金融控制,金融控制,美元指数月环比,us_dollar_broad_index_month_avg_mom_pct,-0.2616911730936854,0.2616911730936854,0.0022559060817769023,***,负向,2
铝价模型,产业链+金融控制,金融控制,联邦基金利率变化,fed_funds_rate_pct_mom_diff,-0.15746162001998043,0.15746162001998043,0.26096762779314897,不显著,负向,10
铝价模型,产业链+金融控制,金融控制,10年期美债收益率变化,us_10y_treasury_yield_pct_month_avg_mom_diff,0.06813562996282058,0.06813562996282058,0.496070253035808,不显著,正向,13
铝价模型,产业链+金融控制,金融控制,VIX变化,vix_month_avg_mom_diff,-0.05941726438072298,0.05941726438072298,0.6005459890413805,不显著,负向,15
