品种,品种代码,变量类别,变量名,预期方向,建议频率,建议滞后期,建议数据来源,是否核心变量,是否可量化,本地可用字段,本地可得性,建模处理建议
ZLD104,aluminum_zld104,供应端,铸造铝合金产量,供应增加通常压低价格,月度,0-2个月,SMM/Mysteel/百川/Wind,是,是,,待补充,
ZLD104,aluminum_zld104,供应端,开工率,开工率上升通常压低价格,周度/月度,0-2个月,SMM/Mysteel/百川/Wind,是,是,,待补充,
ZLD104,aluminum_zld104,库存端,社会库存,库存上升通常压低价格,周度/月度,0-1个月,SMM/Mysteel/Wind,是,是,,待补充,
ZLD104,aluminum_zld104,库存端,企业库存,库存上升通常压低价格,周度/月度,0-1个月,企业内部库存/SMM/Mysteel,是,是,,待补充,
ZLD104,aluminum_zld104,成本端,A00铝价格,成本上涨通常推升ZLD104,日度/月度,0-1个月,长江有色/SMM/企业采购价,是,是,A00铝_月均价; A00铝_价格月环比,可用,核心传导变量
ZLD104,aluminum_zld104,成本端,能源成本,能源成本上升通常支撑价格,月度,0-2个月,电价/煤价/企业能源成本,是,是,,待补充,
ZLD104,aluminum_zld104,回收端,废铝回收量,回收供给增加通常压低成本,月度,0-2个月,SMM/Mysteel/再生资源协会,否,是,,待补充,
ZLD104,aluminum_zld104,回收端,再生料供给,供给增加通常压低成本,月度,0-2个月,SMM/Mysteel/企业采购,否,是,,待补充,
ZLD104,aluminum_zld104,需求端,工程机械产量,需求增加通常推升价格,月度,0-2个月,国家统计局/工程机械协会/Wind,是,是,,待补充,
ZLD104,aluminum_zld104,需求端,工业PMI,景气上行通常推升价格,月度,0-1个月,国家统计局/中国物流与采购联合会,是,是,,待补充,
ZLD104,aluminum_zld104,需求端,通用设备产量,需求增加通常推升价格,月度,0-2个月,国家统计局/Wind,是,是,,待补充,
ZLD104,aluminum_zld104,事件冲击,限产政策,限产通常推升价格,日度/月度,0-1个月,政策公告/新闻事件库,否,是,,待补充,
ZLD104,aluminum_zld104,事件冲击,运输扰动,扰动通常推升区域价格,日度/月度,0-1个月,物流指数/新闻事件库/企业记录,否,是,,待补充,
1#铜,copper_1,需求端,制造业PMI,景气上行通常支撑价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,制造业PMI; 制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
1#铜,copper_1,需求端,工业增加值同比,工业生产改善通常支撑价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,工业增加值同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#铜,copper_1,需求端,房地产开发景气指数,地产景气改善通常支撑铜消费,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,房地产开发景气指数; 房地产开发景气指数环比,可用,第一批补充国内公开因子，适合做月度解释变量
1#铜,copper_1,成本端,PPI当月同比,工业品价格上行通常支撑金属价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,PPI当月同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#铜,copper_1,成本端,企业商品价格矿产品指数,矿产品价格上行通常支撑铜价,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#铜,copper_1,贸易端,当月进口额,进口景气改善通常反映国内需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,当月进口额; 当月进口额环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
A00铝,aluminum_a00,需求端,制造业PMI,景气上行通常支撑价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,制造业PMI; 制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
A00铝,aluminum_a00,需求端,房地产开发景气指数,地产景气改善通常支撑建筑用铝,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,房地产开发景气指数; 房地产开发景气指数环比,可用,第一批补充国内公开因子，适合做月度解释变量
A00铝,aluminum_a00,成本端,PPI当月同比,工业品价格上行通常支撑铝价,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,PPI当月同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
A00铝,aluminum_a00,成本端,企业商品价格煤油电指数,能源价格上行通常支撑铝成本,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
A00铝,aluminum_a00,成本端,企业商品价格矿产品指数,矿产品价格上行通常支撑原料成本,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#白银,silver_1,需求端,制造业PMI,景气上行通常支撑工业银需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,制造业PMI; 制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
1#白银,silver_1,需求端,工业增加值同比,工业生产改善通常支撑白银工业需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,工业增加值同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#白银,silver_1,需求端,当月出口额,出口改善通常支撑电子与光伏链需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,当月出口额; 当月出口额环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#白银,silver_1,成本端,PPI当月同比,工业品价格上行通常支撑商品价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,PPI当月同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
1#白银,silver_1,成本端,企业商品价格矿产品指数,矿产品价格上行通常支撑白银成本侧,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ADC12,aluminum_adc12,需求端,制造业PMI,景气上行通常支撑压铸件需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,制造业PMI; 制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
ADC12,aluminum_adc12,需求端,工业增加值同比,工业生产改善通常支撑铝合金需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,工业增加值同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ADC12,aluminum_adc12,成本端,PPI当月同比,工业品价格上行通常支撑价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,PPI当月同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ADC12,aluminum_adc12,成本端,企业商品价格煤油电指数,能源价格上行通常支撑再生铝成本,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,需求端,制造业PMI,景气上行通常支撑工业铸造需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,制造业PMI; 制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,需求端,非制造业PMI,施工和服务景气改善通常支撑需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,非制造业PMI; 非制造业PMI_变化,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,需求端,工业增加值同比,工业生产改善通常支撑铸造铝需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,工业增加值同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,需求端,房地产开发景气指数,地产和施工链改善通常支撑需求,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,房地产开发景气指数; 房地产开发景气指数环比,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,成本端,PPI当月同比,工业品价格上行通常支撑价格,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,PPI当月同比增长,可用,第一批补充国内公开因子，适合做月度解释变量
ZLD104,aluminum_zld104,成本端,企业商品价格煤油电指数,能源价格上行通常支撑铸造成本,月度,0-2个月,AkShare公开宏观接口/东方财富/国家统计局口径,否,是,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,可用,第一批补充国内公开因子，适合做月度解释变量
