品种,变量,变量含义,数据来源,标准化系数,显著性
ADC12,汽车销量Top50厂商合计_环比,盖世汽车车企榜Top50厂商月度销量合计，代理汽车终端需求；建模时计算环比=(本月值/上月值-1)*100。,盖世汽车排行榜，经AkShare抓取，data_cache_v3/gasgoo_auto_top50_monthly.csv,-0.9234300476736782,***
ADC12,A00铝_价格月环比,A00铝日度价格先按月求均价，再计算价格月环比=(本月月均价/上月月均价-1)*100；用于表示铝合金成本传导。,原始数据.csv / ccmn_changjiang_avg_prices.csv，长江有色五类原材料日度均价，按月均值聚合,0.7469884399680544,***
ADC12,限电政策冲击,限电政策冲击事件虚拟变量；2021-09、2021-10、2022-08取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,0.2042775049890733,*
ADC12,工业增加值同比增长,工业增加值同比增速，反映宏观工业生产强弱；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,0.1085958100277025,不显著
ADC12,制造业PMI_变化,制造业采购经理指数，反映制造业景气度；建模时计算月度变化=本月值-上月值。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,-0.1081825761584223,不显著
ADC12,运输扰动冲击,运输扰动冲击事件虚拟变量；2022-04、2022-05取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,0.1015178607762512,**
ADC12,COVID供应链冲击,COVID供应链冲击事件虚拟变量；2022-03、2022-04、2022-05、2022-12、2023-01取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,0.1015178607762511,**
ADC12,环保限产冲击,环保限产冲击事件虚拟变量；2021-11、2021-12、2022-01、2022-02取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,-0.0792763675018827,不显著
ADC12,ADC12_A00价差_滞后1期变化,先计算ADC12月均价-A00铝月均价得到价差，再计算价差变化=本月价差-上月价差，最后滞后1个月用于回归，避免当期价格信息泄漏。,原始数据.csv / ccmn_changjiang_avg_prices.csv，长江有色五类原材料日度均价，按月均值聚合,0.0790482706312175,不显著
ADC12,中国经济政策不确定性指数_变化,中国经济政策不确定性指数，反映国内宏观政策不确定性；建模时计算月度变化=本月值-上月值。,FRED/PolicyUncertainty.com，data_cache_v3/policy_uncertainty_monthly.csv,0.0772843674101781,不显著
ADC12,新能源汽车产量当期值_环比,新能源汽车月度产量当期值，代理汽车轻量化及铝合金需求；建模时计算环比=(本月值/上月值-1)*100。,国家统计局月度工业产品产量，data_cache_v3/nbs_monthly_indicators.csv,-0.0733673081085666,不显著
ADC12,企业商品价格煤油电环比增长,企业商品价格指数中煤油电分项的环比增速，反映能源成本压力；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，企业商品价格指数口径，data_cache_v3/domestic_macro_monthly.csv,0.0611714184132298,不显著
ADC12,PPI当月同比增长,工业生产者出厂价格当月同比增速，反映工业品价格压力；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,-0.0285022710196932,不显著
ADC12,SHFE铝仓单库存_环比,上期所铝仓单库存，月末附近取数；用于代理交易所铝库存压力；建模时计算环比=(本月值/上月值-1)*100。,上海期货交易所仓单库存，经AkShare/脚本抓取，data_cache_v3/shfe_warrant_monthly.csv,0.0039779033560332,不显著
ZLD104,A00铝_价格月环比,A00铝日度价格先按月求均价，再计算价格月环比=(本月月均价/上月月均价-1)*100；用于表示铝合金成本传导。,原始数据.csv / ccmn_changjiang_avg_prices.csv，长江有色五类原材料日度均价，按月均值聚合,0.7050118836084193,***
ZLD104,PPI当月同比增长,工业生产者出厂价格当月同比增速，反映工业品价格压力；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,-0.231819238920159,***
ZLD104,发电量当期值_环比,发电量月度当期值，反映工业活动和能源端景气度；建模时计算环比=(本月值/上月值-1)*100。,国家统计局月度工业产品产量，data_cache_v3/nbs_monthly_indicators.csv,-0.2251005762571081,***
ZLD104,COVID供应链冲击,COVID供应链冲击事件虚拟变量；2022-03、2022-04、2022-05、2022-12、2023-01取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,0.1810047157368697,***
ZLD104,中国经济政策不确定性指数_变化,中国经济政策不确定性指数，反映国内宏观政策不确定性；建模时计算月度变化=本月值-上月值。,FRED/PolicyUncertainty.com，data_cache_v3/policy_uncertainty_monthly.csv,0.1226397347993141,***
ZLD104,SHFE铝仓单库存_环比,上期所铝仓单库存，月末附近取数；用于代理交易所铝库存压力；建模时计算环比=(本月值/上月值-1)*100。,上海期货交易所仓单库存，经AkShare/脚本抓取，data_cache_v3/shfe_warrant_monthly.csv,0.0904525147843517,**
ZLD104,制造业PMI_变化,制造业采购经理指数，反映制造业景气度；建模时计算月度变化=本月值-上月值。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,0.0685671204214292,**
ZLD104,企业商品价格煤油电环比增长,企业商品价格指数中煤油电分项的环比增速，反映能源成本压力；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，企业商品价格指数口径，data_cache_v3/domestic_macro_monthly.csv,0.0339440708983955,不显著
ZLD104,非制造业PMI_变化,非制造业采购经理指数，反映服务业和建筑业景气度；建模时计算月度变化=本月值-上月值。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,-0.03391106498329,不显著
ZLD104,限电政策冲击,限电政策冲击事件虚拟变量；2021-09、2021-10、2022-08取1，其余月份取0。,人工事件dummy，run_domestic_regression_analysis_v2.py中按事件月份构造，data_cache_v3/domestic_event_dummies_monthly.csv,0.0325188240660579,不显著
ZLD104,ZLD104_A00价差_滞后1期变化,先计算ZLD104月均价-A00铝月均价得到价差，再计算价差变化=本月价差-上月价差，最后滞后1个月用于回归，避免当期价格信息泄漏。,原始数据.csv / ccmn_changjiang_avg_prices.csv，长江有色五类原材料日度均价，按月均值聚合,-0.0311385142474801,不显著
ZLD104,工业增加值同比增长,工业增加值同比增速，反映宏观工业生产强弱；该字段为发布口径；直接使用月度发布值进入模型。,AkShare宏观中国接口，国家统计局口径，data_cache_v3/domestic_macro_monthly.csv,0.0237854733599085,不显著
ZLD104,房地产开发景气指数环比,房地产开发景气指数环比指标；直接使用月度发布值进入模型。,建模月度数据集 domestic_material_monthly_dataset_v1.csv,0.0227674610970619,不显著
ZLD104,发电机组产量当期值_环比,发电机组月度产量当期值，代理电力设备制造需求；建模时计算环比=(本月值/上月值-1)*100。,国家统计局月度工业产品产量，data_cache_v3/nbs_monthly_indicators.csv,-0.0134046556616544,不显著
